Step [11] Epoch [7/80], Discriminator 0.0041, Generator 12.5335
Step [12] Epoch [7/80], Discriminator 0.0316, Generator 7.9341
Epoch [7/80], Discriminator 0.0483, Generator 8.1112
Step [0] Epoch [8/80], Discriminator 0.0142, Generator 8.0141
Step [1] Epoch [8/80], Discriminator 0.0606, Generator 7.8289
Step [2] Epoch [8/80], Discriminator 0.0106, Generator 9.2437
Step [3] Epoch [8/80], Discriminator 0.0153, Generator 9.6286
Step [4] Epoch [8/80], Discriminator 0.0551, Generator 7.6835
Step [5] Epoch [8/80], Discriminator 0.0849, Generator 7.5688
Step [6] Epoch [8/80], Discriminator 0.0010, Generator 12.0928
Step [7] Epoch [8/80], Discriminator 0.1276, Generator 10.2003
Step [8] Epoch [8/80], Discriminator 0.0316, Generator 9.1148
Step [9] Epoch [8/80], Discriminator 0.0480, Generator 8.0370
Step [10] Epoch [8/80], Discriminator 0.0082, Generator 8.3975
Step [11] Epoch [8/80], Discriminator 0.0265, Generator 8.3019
Step [12] Epoch [8/80], Discriminator 0.0397, Generator 8.3184
Epoch [8/80], Discriminator 0.0690, Generator 6.7933
Step [0] Epoch [9/80], Discriminator 0.0362, Generator 6.7215
Step [1] Epoch [9/80], Discriminator 0.0115, Generator 13.1645
Step [2] Epoch [9/80], Discriminator 0.0103, Generator 11.9834
Step [3] Epoch [9/80], Discriminator 0.0031, Generator 11.6724
Step [4] Epoch [9/80], Discriminator 0.0061, Generator 11.3427
Step [5] Epoch [9/80], Discriminator 0.0128, Generator 9.4012
Step [6] Epoch [9/80], Discriminator 0.1324, Generator 11.6312
Step [7] Epoch [9/80], Discriminator 0.0362, Generator 14.2656
Step [8] Epoch [9/80], Discriminator 0.0074, Generator 10.3028
Step [9] Epoch [9/80], Discriminator 0.0638, Generator 8.7923
Step [10] Epoch [9/80], Discriminator 0.0221, Generator 9.6210
Step [11] Epoch [9/80], Discriminator 0.0295, Generator 8.5353
Step [12] Epoch [9/80], Discriminator 0.0062, Generator 8.2527
Epoch [9/80], Discriminator 0.0231, Generator 11.2931
Step [0] Epoch [10/80], Discriminator 0.0254, Generator 11.6503
Step [1] Epoch [10/80], Discriminator 0.0276, Generator 12.2718
Step [2] Epoch [10/80], Discriminator 0.0239, Generator 8.7011
Step [3] Epoch [10/80], Discriminator 0.0080, Generator 7.4662
Step [4] Epoch [10/80], Discriminator 0.0285, Generator 7.0822
Step [5] Epoch [10/80], Discriminator 0.0249, Generator 8.9628
Step [6] Epoch [10/80], Discriminator 0.0307, Generator 8.4044
Step [7] Epoch [10/80], Discriminator 0.0284, Generator 6.2428
Step [8] Epoch [10/80], Discriminator 0.0575, Generator 13.7860
Step [9] Epoch [10/80], Discriminator 0.0271, Generator 8.7636
Step [10] Epoch [10/80], Discriminator 0.0073, Generator 8.7810
Step [11] Epoch [10/80], Discriminator 0.0021, Generator 15.8649
Step [12] Epoch [10/80], Discriminator 0.0138, Generator 7.7265
Epoch [10/80], Discriminator 0.0024, Generator 8.0952
Step [0] Epoch [11/80], Discriminator 0.0165, Generator 6.8526
Step [1] Epoch [11/80], Discriminator 0.0148, Generator 9.8067
Step [2] Epoch [11/80], Discriminator 0.0280, Generator 7.6515
Step [3] Epoch [11/80], Discriminator 0.0783, Generator 9.0571
Step [4] Epoch [11/80], Discriminator 0.0114, Generator 10.8149
Step [5] Epoch [11/80], Discriminator 0.0183, Generator 8.7831
Step [6] Epoch [11/80], Discriminator 0.0063, Generator 6.3930
Step [7] Epoch [11/80], Discriminator 0.0258, Generator 15.2070
Step [8] Epoch [11/80], Discriminator 0.0152, Generator 13.3280
Step [9] Epoch [11/80], Discriminator 0.0149, Generator 8.3392
Step [10] Epoch [11/80], Discriminator 0.0104, Generator 8.2943
Step [11] Epoch [11/80], Discriminator 0.0161, Generator 10.5876
Step [12] Epoch [11/80], Discriminator 0.0103, Generator 7.6973
Epoch [11/80], Discriminator 0.1035, Generator 15.5058
Step [0] Epoch [12/80], Discriminator 0.0101, Generator 14.5705
Step [1] Epoch [12/80], Discriminator 0.1255, Generator 10.1098
Step [2] Epoch [12/80], Discriminator 0.0360, Generator 8.4274
Step [3] Epoch [12/80], Discriminator 0.0317, Generator 9.7208
Step [4] Epoch [12/80], Discriminator 0.2534, Generator 11.2872
Step [5] Epoch [12/80], Discriminator 0.0324, Generator 8.8216
Step [6] Epoch [12/80], Discriminator 0.0691, Generator 7.3915
Step [7] Epoch [12/80], Discriminator 0.0212, Generator 9.4780
Step [8] Epoch [12/80], Discriminator 0.1806, Generator 9.4168
Step [9] Epoch [12/80], Discriminator 0.0795, Generator 9.2550
Step [10] Epoch [12/80], Discriminator 0.0150, Generator 9.2978
Step [11] Epoch [12/80], Discriminator 0.0023, Generator 10.5051
Step [12] Epoch [12/80], Discriminator 0.0304, Generator 6.9867
Epoch [12/80], Discriminator 0.0032, Generator 15.6150
Step [0] Epoch [13/80], Discriminator 0.0815, Generator 12.9011
Step [1] Epoch [13/80], Discriminator 0.0004, Generator 12.8575
Step [2] Epoch [13/80], Discriminator 0.0045, Generator 7.8791
Step [3] Epoch [13/80], Discriminator 0.0850, Generator 9.8650
Step [4] Epoch [13/80], Discriminator 0.0058, Generator 10.0484
Step [5] Epoch [13/80], Discriminator 0.0400, Generator 9.5722
Step [6] Epoch [13/80], Discriminator 0.0133, Generator 9.9012
Step [7] Epoch [13/80], Discriminator 0.0229, Generator 8.1132
Step [8] Epoch [13/80], Discriminator 0.0090, Generator 7.3825
Step [9] Epoch [13/80], Discriminator 0.1840, Generator 11.4891
Step [10] Epoch [13/80], Discriminator 0.0764, Generator 7.8833
Step [11] Epoch [13/80], Discriminator 0.0450, Generator 6.7855
Step [12] Epoch [13/80], Discriminator 0.0150, Generator 9.6698
Epoch [13/80], Discriminator 0.0062, Generator 9.5048
Step [0] Epoch [14/80], Discriminator 0.0055, Generator 10.8716
Step [1] Epoch [14/80], Discriminator 0.0303, Generator 8.1277
Step [2] Epoch [14/80], Discriminator 0.0049, Generator 10.1680
Step [3] Epoch [14/80], Discriminator 0.0073, Generator 7.6334
Step [4] Epoch [14/80], Discriminator 0.0543, Generator 7.4516
Step [5] Epoch [14/80], Discriminator 0.0092, Generator 10.7915
Step [6] Epoch [14/80], Discriminator 0.0640, Generator 10.0404
Step [7] Epoch [14/80], Discriminator 0.0831, Generator 9.4365
Step [8] Epoch [14/80], Discriminator 0.0547, Generator 8.5273
Step [9] Epoch [14/80], Discriminator 0.0267, Generator 12.1280
Step [10] Epoch [14/80], Discriminator 0.0062, Generator 10.9223
Step [11] Epoch [14/80], Discriminator 0.0703, Generator 5.1551
Step [12] Epoch [14/80], Discriminator 0.0665, Generator 8.4703
Epoch [14/80], Discriminator 0.0153, Generator 7.5494
Step [0] Epoch [15/80], Discriminator 0.0332, Generator 8.4489
Step [1] Epoch [15/80], Discriminator 0.1197, Generator 4.7206
Step [2] Epoch [15/80], Discriminator 0.0521, Generator 7.4428
Step [3] Epoch [15/80], Discriminator 0.0733, Generator 6.0152
Step [4] Epoch [15/80], Discriminator 0.0413, Generator 10.2395
Step [5] Epoch [15/80], Discriminator 0.0921, Generator 7.9438
Step [6] Epoch [15/80], Discriminator 0.0151, Generator 7.5009
Step [7] Epoch [15/80], Discriminator 0.0077, Generator 7.7670
Step [8] Epoch [15/80], Discriminator 0.0714, Generator 9.0161
Step [9] Epoch [15/80], Discriminator 0.0485, Generator 6.7651
Step [10] Epoch [15/80], Discriminator 0.0129, Generator 6.3371
Step [11] Epoch [15/80], Discriminator 0.0670, Generator 7.5771
Step [12] Epoch [15/80], Discriminator 0.0202, Generator 9.4922
Epoch [15/80], Discriminator 0.0414, Generator 9.8903
Step [0] Epoch [16/80], Discriminator 0.2634, Generator 8.2173
Step [1] Epoch [16/80], Discriminator 0.0217, Generator 10.3913
Step [2] Epoch [16/80], Discriminator 0.0283, Generator 9.9334
Step [3] Epoch [16/80], Discriminator 0.1057, Generator 8.3328
Step [4] Epoch [16/80], Discriminator 0.0219, Generator 8.8579
Step [5] Epoch [16/80], Discriminator 0.0301, Generator 5.7893
Step [6] Epoch [16/80], Discriminator 0.0655, Generator 6.3437
Step [7] Epoch [16/80], Discriminator 0.0351, Generator 8.6506
Step [8] Epoch [16/80], Discriminator 0.0211, Generator 7.1637
Step [9] Epoch [16/80], Discriminator 0.0756, Generator 6.8466
Step [10] Epoch [16/80], Discriminator 0.0228, Generator 7.1998
Step [11] Epoch [16/80], Discriminator 0.0709, Generator 9.0470
Step [12] Epoch [16/80], Discriminator 0.0897, Generator 7.8444
